id_transaksi,kategori,kota,metode_bayar,jumlah,harga_satuan
TRX1252,Kesehatan & Kecantikan,Solo,COD,2,250000
TRX1253,Makanan & Minuman,Yogyakarta,Kartu Kredit,2,15000
TRX1254,Elektronik,Solo,COD,9,500000
TRX1255,Makanan & Minuman,Solo,E-Wallet,7,50000
TRX1256,Elektronik,Semarang,Kartu Kredit,3,500000
TRX1257,Rumah Tangga,Solo,COD,1,250000
TRX1258,Fashion,Magelang,E-Wallet,8,50000
TRX1259,Fashion,Semarang,Transfer Bank,6,250000
TRX1260,Fashion,Magelang,E-Wallet,7,50000
TRX1261,Makanan & Minuman,Yogyakarta,Transfer Bank,9,100000
TRX1262,Rumah Tangga,Semarang,COD,5,15000
TRX1263,Elektronik,Yogyakarta,Kartu Kredit,1,15000
TRX1264,Kesehatan & Kecantikan,Semarang,Kartu Kredit,7,250000
TRX1265,Elektronik,Purworejo,COD,5,15000
TRX1266,Kesehatan & Kecantikan,Solo,Kartu Kredit,3,250000
TRX1267,Elektronik,Purworejo,Kartu Kredit,9,250000
TRX1268,Rumah Tangga,Yogyakarta,Transfer Bank,1,250000
TRX1269,Kesehatan & Kecantikan,Solo,COD,1,15000
TRX1270,Makanan & Minuman,Semarang,E-Wallet,1,250000
TRX1271,Elektronik,Solo,Transfer Bank,3,15000
TRX1272,Elektronik,Magelang,COD,6,250000
TRX1273,Kesehatan & Kecantikan,Solo,Transfer Bank,3,500000
TRX1274,Makanan & Minuman,Magelang,E-Wallet,8,250000
TRX1275,Makanan & Minuman,Solo,E-Wallet,2,50000
TRX1276,Rumah Tangga,Magelang,COD,9,250000
TRX1277,Makanan & Minuman,Yogyakarta,E-Wallet,3,100000
TRX1278,Makanan & Minuman,Purworejo,Transfer Bank,5,250000
TRX1279,Makanan & Minuman,Semarang,E-Wallet,8,50000
TRX1280,Fashion,Solo,Transfer Bank,2,50000
TRX1281,Rumah Tangga,Purworejo,Transfer Bank,6,15000
TRX1282,Elektronik,Semarang,E-Wallet,5,500000
TRX1283,Kesehatan & Kecantikan,Semarang,COD,9,250000
TRX1284,Elektronik,Magelang,Kartu Kredit,5,15000
TRX1285,Rumah Tangga,Yogyakarta,E-Wallet,2,500000
TRX1286,Kesehatan & Kecantikan,Yogyakarta,Transfer Bank,5,250000
TRX1287,Rumah Tangga,Purworejo,Transfer Bank,4,100000
TRX1288,Makanan & Minuman,Yogyakarta,E-Wallet,7,250000
TRX1289,Kesehatan & Kecantikan,Solo,COD,6,50000
TRX1290,Makanan & Minuman,Yogyakarta,COD,2,50000
TRX1291,Elektronik,Purworejo,Transfer Bank,5,100000
TRX1292,Elektronik,Yogyakarta,Transfer Bank,7,15000
TRX1293,Kesehatan & Kecantikan,Solo,COD,7,500000
TRX1294,Kesehatan & Kecantikan,Magelang,Kartu Kredit,5,250000
TRX1295,Rumah Tangga,Purworejo,E-Wallet,9,50000
TRX1296,Rumah Tangga,Magelang,Transfer Bank,4,15000
TRX1297,Makanan & Minuman,Magelang,Transfer Bank,3,100000
TRX1298,Kesehatan & Kecantikan,Magelang,COD,4,50000
TRX1299,Elektronik,Semarang,E-Wallet,5,100000
TRX1300,Rumah Tangga,Semarang,COD,6,250000
TRX1301,Rumah Tangga,Magelang,E-Wallet,3,500000
TRX1302,Elektronik,Purworejo,E-Wallet,2,50000
TRX1303,Rumah Tangga,Solo,E-Wallet,4,50000
TRX1304,Makanan & Minuman,Solo,Transfer Bank,5,250000
TRX1305,Kesehatan & Kecantikan,Yogyakarta,Kartu Kredit,4,15000
TRX1306,Elektronik,Purworejo,COD,3,500000
TRX1307,Kesehatan & Kecantikan,Semarang,Kartu Kredit,8,50000
TRX1308,Rumah Tangga,Magelang,COD,4,500000
TRX1309,Rumah Tangga,Yogyakarta,E-Wallet,2,50000
TRX1310,Elektronik,Solo,Transfer Bank,2,500000
TRX1311,Makanan & Minuman,Semarang,Kartu Kredit,1,100000
TRX1312,Fashion,Semarang,Transfer Bank,4,50000
TRX1313,Elektronik,Magelang,COD,9,500000
TRX1314,Fashion,Solo,Transfer Bank,7,15000
TRX1315,Fashion,Purworejo,Transfer Bank,7,100000
TRX1316,Makanan & Minuman,Semarang,Kartu Kredit,7,100000
TRX1317,Fashion,Magelang,E-Wallet,8,15000
TRX1318,Fashion,Purworejo,Transfer Bank,1,500000
TRX1319,Makanan & Minuman,Solo,E-Wallet,8,250000
TRX1320,Fashion,Semarang,COD,4,15000
TRX1321,Fashion,Purworejo,Transfer Bank,4,500000
TRX1322,Fashion,Purworejo,Kartu Kredit,4,15000
TRX1323,Elektronik,Purworejo,COD,6,15000
TRX1324,Elektronik,Semarang,COD,7,50000
TRX1325,Elektronik,Semarang,Kartu Kredit,6,500000
TRX1326,Makanan & Minuman,Yogyakarta,Transfer Bank,1,250000
TRX1327,Rumah Tangga,Solo,Transfer Bank,8,50000
TRX1328,Fashion,Magelang,COD,7,15000
TRX1329,Fashion,Purworejo,Transfer Bank,6,15000
TRX1330,Makanan & Minuman,Yogyakarta,E-Wallet,6,15000
TRX1331,Fashion,Magelang,Kartu Kredit,5,500000
TRX1332,Elektronik,Yogyakarta,E-Wallet,6,500000
TRX1333,Rumah Tangga,Semarang,Transfer Bank,9,50000
TRX1334,Kesehatan & Kecantikan,Purworejo,COD,9,250000
TRX1335,Fashion,Magelang,Kartu Kredit,8,50000
TRX1336,Elektronik,Magelang,Transfer Bank,9,100000
TRX1337,Kesehatan & Kecantikan,Magelang,Transfer Bank,8,15000
TRX1338,Rumah Tangga,Magelang,COD,8,15000
TRX1339,Kesehatan & Kecantikan,Magelang,COD,1,15000
TRX1340,Elektronik,Yogyakarta,E-Wallet,5,50000
TRX1341,Kesehatan & Kecantikan,Purworejo,Kartu Kredit,4,50000
TRX1342,Makanan & Minuman,Semarang,Kartu Kredit,2,15000
TRX1343,Kesehatan & Kecantikan,Semarang,COD,8,50000
TRX1344,Fashion,Semarang,E-Wallet,3,500000
TRX1345,Fashion,Semarang,Kartu Kredit,4,500000
TRX1346,Makanan & Minuman,Yogyakarta,COD,7,50000
TRX1347,Elektronik,Solo,Transfer Bank,9,15000
TRX1348,Fashion,Purworejo,Kartu Kredit,2,50000
TRX1349,Rumah Tangga,Magelang,E-Wallet,3,50000
TRX1350,Fashion,Solo,E-Wallet,4,50000
TRX1351,Fashion,Semarang,E-Wallet,1,100000
TRX1352,Elektronik,Solo,Transfer Bank,7,500000
TRX1353,Kesehatan & Kecantikan,Purworejo,Kartu Kredit,2,250000
TRX1354,Fashion,Magelang,Kartu Kredit,5,250000
TRX1355,Makanan & Minuman,Magelang,Transfer Bank,1,100000
TRX1356,Kesehatan & Kecantikan,Purworejo,Kartu Kredit,3,50000
TRX1357,Rumah Tangga,Purworejo,Transfer Bank,2,100000
TRX1358,Elektronik,Semarang,Transfer Bank,1,100000
TRX1359,Rumah Tangga,Magelang,Transfer Bank,7,15000
TRX1360,Kesehatan & Kecantikan,Solo,E-Wallet,5,500000
TRX1361,Kesehatan & Kecantikan,Yogyakarta,Kartu Kredit,1,250000
TRX1362,Kesehatan & Kecantikan,Yogyakarta,Transfer Bank,6,50000
TRX1363,Rumah Tangga,Purworejo,Kartu Kredit,5,250000
TRX1364,Kesehatan & Kecantikan,Semarang,E-Wallet,3,250000
TRX1365,Rumah Tangga,Yogyakarta,Transfer Bank,7,500000
TRX1366,Kesehatan & Kecantikan,Magelang,COD,9,250000
TRX1367,Makanan & Minuman,Purworejo,E-Wallet,9,250000
TRX1368,Kesehatan & Kecantikan,Solo,COD,9,100000
TRX1369,Rumah Tangga,Purworejo,Kartu Kredit,2,500000
TRX1370,Fashion,Solo,Kartu Kredit,3,15000
TRX1371,Kesehatan & Kecantikan,Purworejo,E-Wallet,7,50000
TRX1372,Fashion,Purworejo,Kartu Kredit,5,250000
TRX1373,Makanan & Minuman,Purworejo,COD,2,50000
TRX1374,Elektronik,Solo,Transfer Bank,3,15000
TRX1375,Makanan & Minuman,Solo,Transfer Bank,6,50000
TRX1376,Kesehatan & Kecantikan,Purworejo,Transfer Bank,7,15000
TRX1377,Fashion,Yogyakarta,E-Wallet,9,100000
TRX1378,Fashion,Semarang,Kartu Kredit,1,250000
TRX1379,Rumah Tangga,Semarang,COD,7,15000
TRX1380,Fashion,Semarang,Kartu Kredit,8,50000
TRX1381,Rumah Tangga,Solo,Kartu Kredit,3,250000
TRX1382,Elektronik,Solo,Kartu Kredit,4,100000
TRX1383,Kesehatan & Kecantikan,Yogyakarta,Transfer Bank,6,250000
TRX1384,Rumah Tangga,Semarang,COD,7,15000
TRX1385,Elektronik,Semarang,COD,4,100000
TRX1386,Fashion,Purworejo,Kartu Kredit,8,50000
TRX1387,Fashion,Solo,Transfer Bank,5,100000
TRX1388,Elektronik,Semarang,Transfer Bank,1,100000
TRX1389,Fashion,Yogyakarta,COD,4,500000
TRX1390,Elektronik,Yogyakarta,Transfer Bank,3,100000
TRX1391,Rumah Tangga,Semarang,Transfer Bank,9,100000
TRX1392,Rumah Tangga,Solo,Transfer Bank,8,250000
TRX1393,Elektronik,Yogyakarta,E-Wallet,1,50000
TRX1394,Rumah Tangga,Purworejo,Kartu Kredit,6,250000
TRX1395,Rumah Tangga,Yogyakarta,COD,9,250000
TRX1396,Rumah Tangga,Magelang,COD,7,15000
TRX1397,Makanan & Minuman,Magelang,E-Wallet,4,250000
TRX1398,Kesehatan & Kecantikan,Solo,Kartu Kredit,1,500000
TRX1399,Fashion,Semarang,COD,2,500000
TRX1400,Makanan & Minuman,Solo,Transfer Bank,5,15000
TRX1401,Rumah Tangga,Solo,COD,5,50000
TRX1402,Elektronik,Solo,Transfer Bank,8,50000
TRX1403,Rumah Tangga,Solo,E-Wallet,6,250000
TRX1404,Kesehatan & Kecantikan,Purworejo,Transfer Bank,8,250000
TRX1405,Rumah Tangga,Purworejo,COD,2,250000
TRX1406,Elektronik,Yogyakarta,COD,3,50000
TRX1407,Kesehatan & Kecantikan,Magelang,COD,6,100000
TRX1408,Rumah Tangga,Solo,E-Wallet,3,500000
TRX1409,Kesehatan & Kecantikan,Yogyakarta,E-Wallet,6,100000
TRX1410,Fashion,Magelang,Kartu Kredit,6,100000
TRX1411,Fashion,Semarang,COD,2,50000
TRX1412,Rumah Tangga,Purworejo,Transfer Bank,7,100000
TRX1413,Kesehatan & Kecantikan,Magelang,E-Wallet,2,15000
TRX1414,Elektronik,Semarang,COD,6,250000
TRX1415,Rumah Tangga,Magelang,COD,1,15000
TRX1416,Fashion,Purworejo,E-Wallet,3,500000
TRX1417,Fashion,Purworejo,Kartu Kredit,2,250000
TRX1418,Rumah Tangga,Yogyakarta,E-Wallet,7,100000
TRX1419,Kesehatan & Kecantikan,Solo,E-Wallet,4,500000
TRX1420,Fashion,Magelang,Transfer Bank,8,250000
TRX1421,Kesehatan & Kecantikan,Magelang,Transfer Bank,6,100000
TRX1422,Fashion,Semarang,Kartu Kredit,4,15000
TRX1423,Fashion,Purworejo,COD,5,250000
TRX1424,Makanan & Minuman,Magelang,E-Wallet,9,100000
TRX1425,Fashion,Purworejo,Kartu Kredit,7,15000
TRX1426,Elektronik,Magelang,Transfer Bank,9,500000
TRX1427,Rumah Tangga,Yogyakarta,E-Wallet,7,500000
TRX1428,Rumah Tangga,Solo,COD,1,500000
TRX1429,Kesehatan & Kecantikan,Magelang,Transfer Bank,8,500000
TRX1430,Fashion,Purworejo,Transfer Bank,4,50000
TRX1431,Elektronik,Yogyakarta,Transfer Bank,3,250000
